episode,steps,step_entities
16,5,"[{'attacker_node': '192.168.175.159', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
16,6,"[{'attacker_node': '192.168.8.138', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
16,7,"[{'attacker_node': '192.168.62.155', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
16,8,"[{'attacker_node': '192.168.65.45', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
16,9,"[{'attacker_node': '192.168.40.75', 'nifr_nodes': ['192.168.126.240', '192.168.188.82'], 'nicr_nodes': ['192.168.110.61']}]"
16,10,"[{'attacker_node': '192.168.186.164', 'nifr_nodes': ['192.168.126.240', '192.168.188.82'], 'nicr_nodes': ['192.168.110.61']}]"
16,11,"[{'attacker_node': '192.168.75.117', 'nifr_nodes': ['192.168.126.240', '192.168.188.82'], 'nicr_nodes': ['192.168.110.61']}]"
16,12,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.171.85', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
16,13,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.171.85', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
17,1,"[{'attacker_node': '192.168.180.124', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
17,2,"[{'attacker_node': '192.168.65.45', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
17,3,"[{'attacker_node': '192.168.40.75', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
17,4,"[{'attacker_node': '192.168.188.82', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
17,5,"[{'attacker_node': '192.168.3.56', 'nifr_nodes': ['192.168.126.240', '192.168.188.82'], 'nicr_nodes': ['192.168.110.61']}]"
17,6,"[{'attacker_node': '192.168.186.164', 'nifr_nodes': ['192.168.171.85', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
17,7,"[{'attacker_node': '192.168.75.117', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
17,8,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
17,9,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
18,1,"[{'attacker_node': '192.168.3.56', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
18,2,"[{'attacker_node': '192.168.188.82', 'nifr_nodes': ['192.168.110.61', '192.168.3.56'], 'nicr_nodes': ['192.168.110.61']}]"
18,3,"[{'attacker_node': '192.168.171.85', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
18,4,"[{'attacker_node': '192.168.241.129', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
18,5,"[{'attacker_node': '192.168.203.150', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
18,6,"[{'attacker_node': '192.168.186.164', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
